dataset	metric	source_entry_id	pdb_id	ccd_id	canonical_isomeric_smiles	heavy_atoms	carbon_atoms	elements	review_status
HiQBind	simple_inorganic_entries	6h8j:C:613:row27429	6h8j	2PA	NP(N)(=O)[O-]	5.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	6d2n:A:302:row26330	6d2n	FUS	NS(N)(=O)=O	5.0	0.0	N;O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	5o2j:A:301:row23393	5o2j	2PO	O=[PH]([O-])[O-]	4.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	4l2x:F:402:row16509	4l2x	POP	O=P([O-])([O-])OP(=O)([O-])[O-]	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	1can:A:511:row259	1can	NO3	O=[N+]([O-])[O-]	4.0	0.0	N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2haw:B:2002:row4835	2haw	2PN	O=P([O-])([O-])NP(=O)([O-])[O-]	9.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	6qva:A:605:row29321	6qva	9PI	O=P([O-])([O-])O[P@](=O)([O-])O[P@](=O)([O-])O[P@](=O)([O-])O[P@](=O)([O-])O[P@](=O)([O-])O[P@@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-]	37.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2o1c:C:163:row5356	2o1c	PPV	O=P([O-])([O-])OP(=O)([O-])[O-]	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	1cva:A:357:row310	1cva	AZI	N=[N+]=N	3.0	0.0	N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2iw4:A:1315:row5084	2iw4	2PN	O=P([O-])([O-])NP(=O)([O-])[O-]	9.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2haw:A:2001:row4834	2haw	2PN	O=P([O-])([O-])NP(=O)([O-])[O-]	9.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	5jvb:B:301:row22210	5jvb	2PO	O=[PH]([O-])[O-]	4.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	5jvb:A:301:row22209	5jvb	2PO	O=[PH]([O-])[O-]	4.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2o1c:A:163:row5354	2o1c	PPV	O=P([O-])([O-])OP(=O)([O-])[O-]	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2o1c:B:165:row5355	2o1c	PPV	O=P([O-])([O-])OP(=O)([O-])[O-]	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2iw4:B:1318:row5085	2iw4	2PN	O=P([O-])([O-])NP(=O)([O-])[O-]	9.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	4ubp:C:800:row18423	4ubp	HAE	CC(=O)NO	5.0	2.0	C;N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	1ccw:B:900:row268	1ccw	TAR	O=C([O-])[C@@H](O)[C@H](O)C(=O)[O-]	10.0	4.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	4w6z:A:404:row18725	4w6z	ETF	OCC(F)(F)F	6.0	2.0	C;F;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	6hke:C:401:row27505	6hke	MLT	O=C([O-])C[C@@H](O)C(=O)[O-]	9.0	4.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	1bf3:A:396:row146	1bf3	PHB	O=C([O-])c1ccc(O)cc1	10.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	1ce5:A:703:row270	1ce5	BEN	NC(=[NH2+])c1ccccc1	9.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	5fus:A:1285:row21252	5fus	DAO	CCCCCCCCCCCC(=O)[O-]	14.0	12.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	2cfg:B:1636:row4178	2cfg	GOL	OCC(O)CO	6.0	3.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	3guo:B:501:row9058	3guo	IPH	Oc1ccccc1	7.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	2q0j:A:500:row5777	2q0j	BEZ	O=C([O-])c1ccccc1	9.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	2as3:A:500:row3776	2as3	IPH	Oc1ccccc1	7.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	4w6z:D:404:row18730	4w6z	ETF	OCC(F)(F)F	6.0	2.0	C;F;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	5w1e:A:602:row25025	5w1e	PHB	O=C([O-])c1ccc(O)cc1	10.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	6xxk:A:401:row30630	6xxk	SPD	[NH3+]CCCC[NH2+]CCC[NH3+]	10.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	3it1:A:402:row9529	3it1	TLA	O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-]	10.0	4.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	3fah:A:911:row8623	3fah	GOL	OCC(O)CO	6.0	3.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	2cfg:B:1638:row4176	2cfg	GOL	OCC(O)CO	6.0	3.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	2ha3:B:962:row4827	2ha3	CHT	C[N+](C)(C)CCO	7.0	5.0	C;N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	1rq2:A:380:row2479	1rq2	CIT	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]	13.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	3mwe:A:427:row10430	3mwe	TLA	O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-]	10.0	4.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	3h2k:A:398:row9131	3h2k	BOG	CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	20.0	14.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	4k7i:A:201:row16233	4k7i	CAQ	Oc1ccccc1O	8.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	4i7e:A:401:row15610	4i7e	PEP	C=C(OP(=O)([O-])[O-])C(=O)[O-]	10.0	3.0	C;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	6s33:B:602:row29550	6s33	DHB	O=C([O-])c1ccc(O)c(O)c1	11.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	shared_artifact_list_entries	1tj0:A:2002:row2698	1tj0	2OP	C[C@H](O)C(=O)[O-]	6.0	3.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3u52_1_XE_LA	3u52	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3c9i_1_XE_J	3c9i	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7q35_1_KR_Y	7q35	KR	[Kr]	1.0	0.0	Kr	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	WEEKLY:9n34_1_FE2_C2	9n34	FE2	[Fe+2]	1.0	0.0	Fe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7pwn_1_AR_F2	7pwn	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	WEEKLY:9vch_1_FE2_L20	9vch	FE2	[Fe+2]	1.0	0.0	Fe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:1lls_1_XE_B	1lls	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3pkh_1_XE_E1	3pkh	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3plj_1_XE_E1	3plj	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:1c61_1_KR_D	1c61	KR	[Kr]	1.0	0.0	Kr	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3plm_1_XE_E4	3plm	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:4o4t_1_XE_E	4o4t	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:3pk5_1_XE_D3	3pk5	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7q37_1_KR_DA	7q37	KR	[Kr]	1.0	0.0	Kr	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7q38_1_AR_OB	7q38	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:6q8r_1_AR_U	6q8r	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:6sp8_1_KR_D	6sp8	KR	[Kr]	1.0	0.0	Kr	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:1fzi_1_XE_K	1fzi	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7b2c_1_XE_Z	7b2c	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7pwn_1_AR_J2	7pwn	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:6q8r_1_AR_Q	6q8r	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	WEEKLY:9s66_2_FE2_M	9s66	FE2	[Fe+2]	1.0	0.0	Fe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:6ra8_1_AR_I24	6ra8	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:7q38_1_AR_NB	7q38	AR	[Ar]	1.0	0.0	Ar	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	monoatomic_ion_entries	BASE:1ury_1_XE_H	1ury	XE	[Xe]	1.0	0.0	Xe	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:4fyz_1_NO_E	4fyz	NO	[N]=O	2.0	0.0	N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:9ud4_1_FES_M	9ud4	FES	[S]1[Fe][S][Fe]1	4.0	0.0	Fe;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:6dvi_2_SO4_P1	6dvi	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:8c2s_1_FES_TA	8c2s	FES	[S]1[Fe][S][Fe]1	4.0	0.0	Fe;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:5vzp_2_NO2_K1	5vzp	NO2	O=N[O-]	3.0	0.0	N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:6y9d_2_FES_HA	6y9d	FES	[S]1[Fe][S][Fe]1	4.0	0.0	Fe;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:2gq1_1_SO4_F3	2gq1	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:5e4j_1_SO4_L1	5e4j	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:1udo_1_PO4_B4	1udo	PO4	O=P([O-])([O-])[O-]	5.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:7p63_1_FES_Q	7p63	FES	[S]1[Fe][S][Fe]1	4.0	0.0	Fe;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:9i6g_1_NO_J	9i6g	NO	[N]=O	2.0	0.0	N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:3r0r_1_SO4_E32	3r0r	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:7x0v_1_AF3_BA	7x0v	AF3	[F][Al]([F])[F]	4.0	0.0	Al;F	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:6at4_1_THJ_E	6at4	THJ	O=S(=O)([O-])[S-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:1b7b_2_SO4_H	1b7b	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:2b3r_1_SO4_C	2b3r	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:8p4o_1_BEF_DA	8p4o	BEF	[F][Be-]([F])[F]	4.0	0.0	Be;F	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:6wnb_1_FES_Y	6wnb	FES	[S]1[Fe][S][Fe]1	4.0	0.0	Fe;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:7thn_1_AZI_T	7thn	AZI	[N-]=[N+]=[N-]	3.0	0.0	N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:6z8j_2_OXY_BA	6z8j	OXY	O=O	2.0	0.0	O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
BioLiP2	simple_inorganic_entries	BASE:4p04_1_SO4_D	4p04	SO4	O=S(=O)([O-])[O-]	5.0	0.0	O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
