dataset	metric	ccd_id	entries	unique_pdb
HiQBind	shared_artifact_list_entries	SRT	16	1
HiQBind	shared_artifact_list_entries	IHP	15	6
HiQBind	shared_artifact_list_entries	CIT	14	9
HiQBind	shared_artifact_list_entries	GOL	14	2
HiQBind	shared_artifact_list_entries	IPH	14	8
HiQBind	shared_artifact_list_entries	3PG	13	6
HiQBind	shared_artifact_list_entries	PUT	13	5
HiQBind	shared_artifact_list_entries	MLA	12	3
HiQBind	shared_artifact_list_entries	TLA	12	4
HiQBind	shared_artifact_list_entries	CHT	11	5
HiQBind	shared_artifact_list_entries	OGA	11	8
HiQBind	shared_artifact_list_entries	PEP	11	4
HiQBind	shared_artifact_list_entries	BNZ	10	9
HiQBind	shared_artifact_list_entries	SIN	10	5
HiQBind	shared_artifact_list_entries	SPD	10	5
HiQBind	shared_artifact_list_entries	DHB	8	6
HiQBind	shared_artifact_list_entries	ETF	8	3
HiQBind	shared_artifact_list_entries	ICT	7	4
HiQBind	shared_artifact_list_entries	MBN	7	4
HiQBind	shared_artifact_list_entries	MLI	7	1
HiQBind	shared_artifact_list_entries	CAQ	5	3
HiQBind	shared_artifact_list_entries	DAO	5	3
HiQBind	shared_artifact_list_entries	MYR	5	5
HiQBind	shared_artifact_list_entries	SPM	5	2
HiQBind	shared_artifact_list_entries	13P	4	2
HiQBind	shared_artifact_list_entries	BOG	4	2
HiQBind	shared_artifact_list_entries	MAE	4	2
HiQBind	shared_artifact_list_entries	TAR	4	2
HiQBind	shared_artifact_list_entries	HAE	3	3
HiQBind	shared_artifact_list_entries	MLT	3	1
HiQBind	shared_artifact_list_entries	2OP	2	2
HiQBind	shared_artifact_list_entries	32M	2	1
HiQBind	shared_artifact_list_entries	DHJ	2	1
HiQBind	shared_artifact_list_entries	DKA	2	2
HiQBind	shared_artifact_list_entries	IHS	2	1
HiQBind	shared_artifact_list_entries	PEG	2	1
HiQBind	shared_artifact_list_entries	PPI	2	1
HiQBind	shared_artifact_list_entries	SAR	2	1
HiQBind	shared_artifact_list_entries	TAU	2	1
HiQBind	shared_artifact_list_entries	DMI	1	1
HiQBind	shared_artifact_list_entries	KDO	1	1
HiQBind	shared_artifact_list_entries	MB3	1	1
HiQBind	shared_artifact_list_entries	PG0	1	1
BioLiP2	monoatomic_ion_entries	XE	679	89
BioLiP2	monoatomic_ion_entries	KR	201	21
BioLiP2	monoatomic_ion_entries	FE2	188	39
BioLiP2	monoatomic_ion_entries	AR	171	20
BioLiP2	monoatomic_ion_entries	ARS	11	4
BioLiP2	monoatomic_ion_entries	CU1	4	1
BioLiP2	monoatomic_ion_entries	6MO	2	1
BioLiP2	monoatomic_ion_entries	ZTM	2	1
BioLiP2	simple_inorganic_entries	SO4	7010	950
BioLiP2	simple_inorganic_entries	PO4	5867	1349
BioLiP2	simple_inorganic_entries	FES	3689	1433
BioLiP2	simple_inorganic_entries	OXY	2044	536
BioLiP2	simple_inorganic_entries	BEF	1078	386
BioLiP2	simple_inorganic_entries	AF3	1050	164
BioLiP2	simple_inorganic_entries	POP	1006	377
BioLiP2	simple_inorganic_entries	NO2	969	184
BioLiP2	simple_inorganic_entries	AZI	808	237
BioLiP2	simple_inorganic_entries	NO	528	189
BioLiP2	simple_inorganic_entries	ALF	471	252
BioLiP2	simple_inorganic_entries	SO3	400	126
BioLiP2	simple_inorganic_entries	CUA	361	195
BioLiP2	simple_inorganic_entries	FEO	300	59
BioLiP2	simple_inorganic_entries	NO3	287	66
BioLiP2	simple_inorganic_entries	WO4	253	66
BioLiP2	simple_inorganic_entries	MOO	236	50
BioLiP2	simple_inorganic_entries	PEO	216	48
BioLiP2	simple_inorganic_entries	2HP	203	33
BioLiP2	simple_inorganic_entries	PPV	145	91
BioLiP2	simple_inorganic_entries	OHX	107	5
BioLiP2	simple_inorganic_entries	VO4	103	51
BioLiP2	simple_inorganic_entries	DPO	90	41
BioLiP2	simple_inorganic_entries	PO3	86	42
BioLiP2	simple_inorganic_entries	3PO	85	39
BioLiP2	simple_inorganic_entries	N2O	74	18
BioLiP2	simple_inorganic_entries	9S8	73	19
BioLiP2	simple_inorganic_entries	A1JGJ	72	3
BioLiP2	simple_inorganic_entries	HOA	63	34
BioLiP2	simple_inorganic_entries	RQM	60	31
BioLiP2	simple_inorganic_entries	PPK	59	18
BioLiP2	simple_inorganic_entries	VVO	59	28
BioLiP2	simple_inorganic_entries	TS6	54	13
BioLiP2	simple_inorganic_entries	MGF	52	32
BioLiP2	simple_inorganic_entries	PER	51	27
BioLiP2	simple_inorganic_entries	THJ	45	20
BioLiP2	simple_inorganic_entries	PS9	44	4
BioLiP2	simple_inorganic_entries	MF4	43	36
BioLiP2	simple_inorganic_entries	2PN	42	18
BioLiP2	simple_inorganic_entries	CUO	42	4
BioLiP2	simple_inorganic_entries	VN4	40	16
BioLiP2	simple_inorganic_entries	PHS	37	14
BioLiP2	simple_inorganic_entries	PIS	37	9
BioLiP2	simple_inorganic_entries	2PO	35	10
BioLiP2	simple_inorganic_entries	TAS	35	8
BioLiP2	simple_inorganic_entries	RHE	32	1
BioLiP2	simple_inorganic_entries	REO	31	6
BioLiP2	simple_inorganic_entries	SFS	29	16
BioLiP2	simple_inorganic_entries	ART	28	9
BioLiP2	simple_inorganic_entries	FUQ	27	6
BioLiP2	shared_artifact_list_entries	GOL	5137	886
BioLiP2	shared_artifact_list_entries	C8E	1718	206
BioLiP2	shared_artifact_list_entries	IHP	738	322
BioLiP2	shared_artifact_list_entries	MPD	641	98
BioLiP2	shared_artifact_list_entries	CIT	500	152
BioLiP2	shared_artifact_list_entries	PEP	412	117
BioLiP2	shared_artifact_list_entries	PEG	336	76
BioLiP2	shared_artifact_list_entries	IMD	223	75
BioLiP2	shared_artifact_list_entries	13P	214	47
BioLiP2	shared_artifact_list_entries	CHT	200	45
BioLiP2	shared_artifact_list_entries	DAO	197	52
BioLiP2	shared_artifact_list_entries	LMT	182	10
BioLiP2	shared_artifact_list_entries	TFA	167	103
BioLiP2	shared_artifact_list_entries	1PS	159	55
BioLiP2	shared_artifact_list_entries	CAQ	159	25
BioLiP2	shared_artifact_list_entries	BEZ	154	50
BioLiP2	shared_artifact_list_entries	O4B	153	46
BioLiP2	shared_artifact_list_entries	IPH	149	32
BioLiP2	shared_artifact_list_entries	3PG	142	65
BioLiP2	shared_artifact_list_entries	BOG	142	31
BioLiP2	shared_artifact_list_entries	SPD	124	48
BioLiP2	shared_artifact_list_entries	LUT	120	1
BioLiP2	shared_artifact_list_entries	MLI	118	32
BioLiP2	shared_artifact_list_entries	MYR	114	27
BioLiP2	shared_artifact_list_entries	PTD	113	16
BioLiP2	shared_artifact_list_entries	GLV	98	20
BioLiP2	shared_artifact_list_entries	PL9	96	27
BioLiP2	shared_artifact_list_entries	PGE	95	39
BioLiP2	shared_artifact_list_entries	LMR	92	33
BioLiP2	shared_artifact_list_entries	I3C	89	28
BioLiP2	shared_artifact_list_entries	ICT	88	36
BioLiP2	shared_artifact_list_entries	PG4	86	33
BioLiP2	shared_artifact_list_entries	CAC	85	22
BioLiP2	shared_artifact_list_entries	ETF	85	29
BioLiP2	shared_artifact_list_entries	XAT	83	16
BioLiP2	shared_artifact_list_entries	TAU	81	25
BioLiP2	shared_artifact_list_entries	SPM	79	21
BioLiP2	shared_artifact_list_entries	BEN	75	46
BioLiP2	shared_artifact_list_entries	PUT	74	27
BioLiP2	shared_artifact_list_entries	MLT	72	31
BioLiP2	shared_artifact_list_entries	CAD	71	42
BioLiP2	shared_artifact_list_entries	VX	66	17
BioLiP2	shared_artifact_list_entries	MES	59	23
BioLiP2	shared_artifact_list_entries	DIO	56	13
BioLiP2	shared_artifact_list_entries	KDO	53	14
BioLiP2	shared_artifact_list_entries	DEP	51	10
BioLiP2	shared_artifact_list_entries	DHB	50	7
BioLiP2	shared_artifact_list_entries	MRD	50	6
BioLiP2	shared_artifact_list_entries	PGO	48	17
BioLiP2	shared_artifact_list_entries	IHS	47	22
CROWN	shared_artifact_list_entries	SPD	97	47
CROWN	shared_artifact_list_entries	SPM	67	29
CROWN	shared_artifact_list_entries	KDO	14	6
Ours	simple_inorganic_entries	OXY	833	226
Ours	simple_inorganic_entries	PO4	786	330
Ours	simple_inorganic_entries	SO4	522	191
Ours	simple_inorganic_entries	NO2	439	105
Ours	simple_inorganic_entries	POP	327	118
Ours	simple_inorganic_entries	AZI	225	83
Ours	simple_inorganic_entries	NO	218	75
Ours	simple_inorganic_entries	SO3	174	54
Ours	simple_inorganic_entries	2HP	88	19
Ours	simple_inorganic_entries	N2O	54	15
Ours	simple_inorganic_entries	NO3	38	29
Ours	simple_inorganic_entries	PPV	30	24
Ours	simple_inorganic_entries	PIS	29	5
Ours	simple_inorganic_entries	PPK	29	9
Ours	simple_inorganic_entries	HOA	28	16
Ours	simple_inorganic_entries	PEO	23	8
Ours	simple_inorganic_entries	3PO	21	12
Ours	simple_inorganic_entries	PO3	19	7
Ours	simple_inorganic_entries	PHS	16	8
Ours	simple_inorganic_entries	ART	15	5
Ours	simple_inorganic_entries	2PN	11	5
Ours	simple_inorganic_entries	THJ	11	5
Ours	simple_inorganic_entries	AST	10	4
Ours	simple_inorganic_entries	TS6	8	3
Ours	simple_inorganic_entries	DPO	7	5
Ours	simple_inorganic_entries	DTN	7	2
Ours	simple_inorganic_entries	SBO	6	2
Ours	simple_inorganic_entries	HDZ	5	2
Ours	simple_inorganic_entries	6YY	4	3
Ours	simple_inorganic_entries	78T	4	2
Ours	simple_inorganic_entries	FUS	4	1
Ours	simple_inorganic_entries	BSY	3	1
Ours	simple_inorganic_entries	HP4	3	2
Ours	simple_inorganic_entries	PER	3	3
Ours	simple_inorganic_entries	UJI	3	1
Ours	simple_inorganic_entries	2PO	2	2
Ours	simple_inorganic_entries	8AR	2	2
Ours	simple_inorganic_entries	8TR	2	1
Ours	simple_inorganic_entries	9PI	2	1
Ours	simple_inorganic_entries	A1I4D	2	1
Ours	simple_inorganic_entries	I2I	2	1
Ours	simple_inorganic_entries	OO9	2	1
Ours	simple_inorganic_entries	PO2	2	2
Ours	simple_inorganic_entries	SFO	2	1
Ours	simple_inorganic_entries	202	1	1
Ours	simple_inorganic_entries	4J3	1	1
Ours	simple_inorganic_entries	6YW	1	1
Ours	simple_inorganic_entries	6YX	1	1
Ours	simple_inorganic_entries	A1I43	1	1
Ours	simple_inorganic_entries	PS5	1	1
Ours	shared_artifact_list_entries	GOL	329	120
Ours	shared_artifact_list_entries	PEP	243	73
Ours	shared_artifact_list_entries	C8E	119	52
Ours	shared_artifact_list_entries	IHP	72	38
Ours	shared_artifact_list_entries	1PS	62	25
Ours	shared_artifact_list_entries	CHT	50	17
Ours	shared_artifact_list_entries	MLI	44	13
Ours	shared_artifact_list_entries	TFA	36	20
Ours	shared_artifact_list_entries	O4B	32	12
Ours	shared_artifact_list_entries	MYR	29	5
Ours	shared_artifact_list_entries	PUT	26	12
Ours	shared_artifact_list_entries	BEN	21	20
Ours	shared_artifact_list_entries	IPH	20	9
Ours	shared_artifact_list_entries	ETF	19	9
Ours	shared_artifact_list_entries	SPD	19	13
Ours	shared_artifact_list_entries	CAQ	18	6
Ours	shared_artifact_list_entries	IHS	18	12
Ours	shared_artifact_list_entries	7N5	16	5
Ours	shared_artifact_list_entries	SPM	16	4
Ours	shared_artifact_list_entries	AAE	15	4
Ours	shared_artifact_list_entries	I3C	13	7
Ours	shared_artifact_list_entries	MB3	12	9
Ours	shared_artifact_list_entries	9JE	11	3
Ours	shared_artifact_list_entries	SP5	10	3
Ours	shared_artifact_list_entries	VX	10	5
Ours	shared_artifact_list_entries	3HR	9	3
Ours	shared_artifact_list_entries	NHE	8	5
Ours	shared_artifact_list_entries	OGA	8	6
Ours	shared_artifact_list_entries	GLV	7	5
Ours	shared_artifact_list_entries	LAC	6	3
Ours	shared_artifact_list_entries	MBN	6	2
Ours	shared_artifact_list_entries	SIN	6	2
Ours	shared_artifact_list_entries	CAC	5	4
Ours	shared_artifact_list_entries	CIT	5	4
Ours	shared_artifact_list_entries	PTD	5	2
Ours	shared_artifact_list_entries	TCE	5	3
Ours	shared_artifact_list_entries	2NV	4	1
Ours	shared_artifact_list_entries	BEZ	4	3
Ours	shared_artifact_list_entries	RWB	4	2
Ours	shared_artifact_list_entries	SAR	4	3
Ours	shared_artifact_list_entries	TLA	4	1
Ours	shared_artifact_list_entries	3PG	3	2
Ours	shared_artifact_list_entries	BNZ	3	3
Ours	shared_artifact_list_entries	DAO	3	3
Ours	shared_artifact_list_entries	MLT	3	2
Ours	shared_artifact_list_entries	PG4	3	2
Ours	shared_artifact_list_entries	THE	3	1
Ours	shared_artifact_list_entries	32M	2	1
Ours	shared_artifact_list_entries	33O	2	2
Ours	shared_artifact_list_entries	3SY	2	2
